country,country_std,region,confederation,pts_men,pts_women,avg_senior_pts,gender_gap,gdp_per_capita,log_gdp,population,log_population,hdi
Italy,Italy,EUR,CEV,346.23,456.91,401.57,110.68,37146,4.57,59000000,7.77,0.91
Poland,Poland,EUR,CEV,401.31,369.04,385.18,-32.27,48968,4.69,38000000,7.58,0.88
Brazil,Brazil,AME,CSV,305.87,417.92,361.9,112.05,9673,3.99,215300000,8.33,0.76
United States,United States,AME,NORCECA,365.87,338.1,351.98,-27.77,80412,4.91,335000000,8.52,0.93
Japan,Japan,ASI,AVC,338.12,347.08,342.6,8.96,33834,4.53,124400000,8.09,0.92
France,France,EUR,CEV,378.07,182.65,280.36,-195.42,43658,4.64,68000000,7.83,0.91
Turkiye,Turkiye,EUR,CEV,175.28,368.54,271.91,193.26,12765,4.11,85300000,7.93,0.86
Germany,Germany,EUR,CEV,274.38,234.08,254.23,-40.3,51384,4.71,84400000,7.93,0.95
Canada,Canada,AME,NORCECA,254.46,245.38,249.92,-9.08,53834,4.73,38200000,7.58,0.94
Slovenia,Slovenia,EUR,CEV,352.5,142.69,247.6,-209.81,32191,4.51,2100000,6.32,0.93
Serbia,Serbia,EUR,CEV,259.28,234.19,246.74,-25.09,10371,4.02,6800000,6.83,0.8
China,China,ASI,AVC,144.02,346.75,245.38,202.73,12614,4.1,1412000000,9.15,0.79
Netherlands,Netherlands,EUR,CEV,204.81,262.59,233.7,57.78,57768,4.76,17900000,7.25,0.95
Argentina,Argentina,AME,CSV,266.94,180.96,223.95,-85.98,13738,4.14,45400000,7.66,0.85
Cuba,Cuba,AME,NORCECA,249.34,145.17,197.26,-104.17,9500,3.98,11100000,7.05,0.78
Ukraine,Ukraine,EUR,CEV,196.0,189.05,192.52,-6.95,4534,3.66,38800000,7.59,0.73
Dominican Republic,Dominican Republic,AME,NORCECA,125.41,254.02,189.72,128.61,9899,4.0,11200000,7.05,0.75
Czech Republic,Czechia,EUR,CEV,168.95,208.84,188.9,39.89,27537,4.44,10900000,7.04,0.9
Belgium,Belgium,EUR,CEV,183.24,190.98,187.11,7.74,51247,4.71,11600000,7.06,0.94
Iran,"Iran, Islamic Rep.",ASI,AVC,185.07,,185.07,,4069,3.61,87900000,7.94,0.78
Thailand,Thailand,,,,173.1,173.1,,7180,3.86,71700000,7.86,0.8
Bulgaria,Bulgaria,EUR,CEV,161.06,169.78,165.42,8.72,14312,4.16,6500000,6.81,0.8
Puerto Rico,Puerto Rico,AME,NORCECA,135.23,182.58,158.9,47.35,32487,4.51,3200000,6.51,0.86
Egypt,"Egypt, Arab Rep.",AFR,CAVB,156.94,,156.94,,3562,3.55,104300000,8.02,0.73
Sweden,Sweden,,,,153.59,153.59,,59324,4.77,10500000,7.02,0.95
Colombia,Colombia,,,,152.37,152.37,,6651,3.82,51900000,7.72,0.76
Kenya,Kenya,,,,152.15,152.15,,1994,3.3,54000000,7.73,0.6
Qatar,Qatar,ASI,AVC,151.46,,151.46,,83891,4.92,2700000,6.43,0.88
Portugal,Portugal,EUR,CEV,147.16,,147.16,,25380,4.4,10200000,7.01,0.87
Finland,Finland,EUR,CEV,146.72,,146.72,,53182,4.73,5500000,6.74,0.94
Vietnam,Viet Nam,,,,141.21,141.21,,4163,3.62,97500000,7.99,0.73
Romania,Romania,EUR,CEV,143.07,136.33,139.7,-6.74,16292,4.21,19000000,7.28,0.83
Chile,Chile,AME,CSV,139.14,,139.14,,15820,4.2,19500000,7.29,0.86
South Korea,"Korea, Rep.",ASI,AVC,138.48,,138.48,,33393,4.52,51700000,7.71,0.93
Mexico,Mexico,,,,138.42,138.42,,11000,4.04,128500000,8.11,0.78
Croatia,Croatia,EUR,CEV,136.4,,136.4,,20259,4.31,4000000,6.6,0.88
Slovakia,Slovak Republic,,,,128.54,128.54,,22447,4.35,5500000,6.74,0.86
Hungary,Hungary,,,,127.51,127.51,,20115,4.3,9700000,6.99,0.85
